thread_id,v_rel_smoothed,initial_chi,final_chi,pre_p_mag,post_p_mag,pre_mass,post_mass,pre_s_sum,post_s_sum,pre_s_mean,post_s_mean,pre_age_a,pre_age_b,chi_max,duration,theta,stability_bin,pre_E_total,post_E_total
0,0.000000,0.062500,0.062500,1.950971,0.893774,4537.260000,1045.777778,44.278118,71.040963,22.139059,35.520481,100,80,0.062500,100.000000,0.000000,20.000000,0.886157,1.421203
0,-0.004242,1.000000,0.307692,0.819478,0.631425,468.000000,128.000000,31.404860,73.847570,15.702430,36.923785,100,10,1.000000,180.000000,0.000000,15.000000,0.630429,1.479273
0,0.000000,0.071429,0.071429,15.709017,0.000000,7997.493827,0.000000,47.330547,0.000000,23.665274,0.000000,130,30,0.071429,110.000000,0.000000,20.000000,0.962039,0.000000
0,0.000000,1.000000,1.000000,0.539185,4.581195,256.600000,400.000000,35.916336,25.889975,17.958168,12.944987,150,10,1.000000,130.000000,0.000000,15.000000,0.719014,0.000000
0,0.002094,0.350000,0.360000,15.875188,0.586374,8100.176857,400.000000,54.223625,33.398141,27.111813,16.699070,170,130,0.360000,140.000000,0.000000,25.000000,1.100035,0.000000
0,-0.001809,0.454545,0.400000,1.526583,3.858343,921.155556,1300.000000,58.407818,70.926233,29.203909,35.463117,200,130,0.500000,180.000000,0.000000,25.000000,1.169424,1.424902
0,-0.000510,0.400000,0.285714,0.427186,0.586374,223.266667,400.000000,47.636402,33.398141,23.818201,16.699070,180,70,0.400000,130.000000,0.000000,20.000000,0.953293,0.000000
0,-0.004000,0.600000,0.400000,16.880674,15.934558,8044.555556,3001.250000,57.352357,39.240856,28.676179,19.620428,150,130,0.600000,140.000000,0.000000,25.000000,1.173734,0.000000
0,-0.001615,0.400000,0.285714,3.554055,0.000000,4261.760000,0.000000,45.975313,0.000000,22.987656,0.000000,140,70,0.400000,130.000000,0.000000,20.000000,0.921282,0.000000
0,-0.000291,0.250000,0.240000,122.992800,1.209118,17723.555556,1143.048655,61.386300,85.446954,30.693150,42.723477,240,110,0.272727,120.000000,0.000000,30.000000,2.344209,1.709875
0,-0.001315,0.285714,0.160000,1.643436,0.758960,3484.000000,3090.254650,66.764803,79.605773,33.382401,39.802886,170,70,0.285714,190.000000,0.000000,30.000000,1.335698,1.592213
0,-0.002257,0.666667,0.240000,53.523792,1.209118,5835.000000,1143.048655,54.490750,85.446954,27.245375,42.723477,150,10,0.666667,210.000000,0.000000,25.000000,1.335974,1.709875
0,0.000000,0.052632,0.052632,13.891930,0.528104,5567.027778,789.660900,67.966704,85.446954,33.983352,42.723477,260,210,0.052632,100.000000,0.000000,30.000000,1.376698,1.709227
0,-0.001315,0.285714,0.160000,1.643436,0.758960,3484.000000,3090.254650,66.764803,79.605773,33.382401,39.802886,270,170,0.285714,190.000000,0.000000,30.000000,1.335698,1.592213
0,0.000000,0.052632,0.052632,13.891930,0.528104,5567.027778,789.660900,67.966704,85.446954,33.983352,42.723477,260,170,0.052632,100.000000,0.000000,30.000000,1.376698,1.709227
0,0.000000,0.142857,0.142857,5.900519,1.681045,1089.333333,383.375000,74.772841,75.626716,37.386420,37.813358,190,150,0.142857,130.000000,0.000000,35.000000,1.525995,1.516455
0,0.000000,0.142857,0.142857,5.900519,1.681045,1089.333333,383.375000,74.772841,75.626716,37.386420,37.813358,470,190,0.142857,130.000000,0.000000,35.000000,1.525995,1.516455
0,-0.000111,0.062500,0.055556,0.894213,4.056885,567.578125,2742.708333,83.640848,85.228713,41.820424,42.614356,480,230,0.062500,120.000000,0.000000,40.000000,1.673524,1.707575
0,-0.000111,0.062500,0.055556,0.894213,4.056885,567.578125,2742.708333,83.640848,85.228713,41.820424,42.614356,230,160,0.062500,120.000000,0.000000,40.000000,1.673524,1.707575
0,-0.004396,0.454545,0.111111,0.670767,0.028219,425.790000,45.375000,78.718313,50.000000,39.359156,25.000000,160,40,0.454545,150.000000,0.000000,35.000000,1.574905,0.000000
0,-0.004396,0.454545,0.111111,0.670767,0.028219,425.790000,45.375000,78.718313,50.000000,39.359156,25.000000,480,40,0.454545,150.000000,0.000000,35.000000,1.574905,0.000000
0,-0.006677,0.800000,0.166667,0.628988,0.034395,701.875000,45.375000,79.336793,50.000000,39.668397,25.000000,180,10,0.800000,140.000000,0.000000,35.000000,1.587046,0.000000
0,-0.006677,0.800000,0.166667,0.628988,0.034395,701.875000,45.375000,79.336793,50.000000,39.668397,25.000000,500,10,0.800000,140.000000,0.000000,35.000000,1.587046,0.000000
0,0.000533,0.800000,0.833333,0.068411,0.072924,204.306122,94.367347,84.075137,38.919118,42.037569,19.459559,20,10,0.833333,130.000000,0.000000,40.000000,1.681539,0.000000
0,0.000000,0.100000,0.100000,3.207510,0.018898,1120.530612,25.000000,70.580072,40.004581,35.290036,20.002291,350,110,0.100000,130.000000,0.000000,35.000000,1.416569,0.000000
