thread_id,v_rel_smoothed,initial_chi,final_chi,pre_p_mag,post_p_mag,pre_mass,post_mass,pre_s_sum,post_s_sum,pre_s_mean,post_s_mean,pre_age_a,pre_age_b,chi_max,duration,theta,stability_bin,pre_E_total,post_E_total
0,0.000000,0.071429,0.071429,0.304113,0.756721,682.410000,1053.000000,12.745145,27.426616,6.372573,13.713308,20,10,0.071429,1000.000000,0.000000,5.000000,0.255061,0.000000
0,0.000000,0.214286,0.214286,0.032593,0.282203,435.073980,300.000000,12.273103,50.000000,6.136551,25.000000,20,10,0.214286,1000.000000,0.000000,5.000000,0.245474,0.000000
0,0.000000,0.142857,0.142857,0.188761,1.221871,184.259259,500.000000,23.932550,23.898512,11.966275,11.949256,20,10,0.142857,1000.000000,0.000000,10.000000,0.478794,0.000000
0,0.000000,0.125000,0.125000,0.304113,0.756721,1474.785000,1053.000000,12.745145,27.426616,6.372573,13.713308,20,10,0.125000,1000.000000,0.000000,5.000000,0.255061,0.000000
0,0.000000,0.142857,0.142857,0.492874,1.978592,416.785000,1553.000000,27.472869,51.325128,13.736434,25.662564,20,20,0.142857,1000.000000,0.000000,10.000000,0.549758,1.028267
0,0.000000,0.500000,0.500000,0.032593,0.282203,1227.448980,300.000000,12.273103,50.000000,6.136551,25.000000,20,10,0.500000,1000.000000,0.000000,5.000000,0.245474,0.000000
0,0.000000,0.428571,0.428571,0.521486,0.146529,856.145000,573.440000,6.694420,34.061470,3.347210,17.030735,20,10,0.428571,1000.000000,0.000000,0.000000,0.134180,0.000000
0,0.000000,0.900000,0.900000,0.032593,0.282203,103.708239,300.000000,21.477930,50.000000,10.738965,25.000000,20,10,0.900000,1000.000000,0.000000,10.000000,0.429571,0.000000
0,0.000000,0.125000,0.125000,0.000000,0.000000,1242.259259,0.000000,9.204827,0.000000,4.602414,0.000000,10,10,0.125000,1000.000000,0.000000,0.000000,0.184097,0.000000
0,0.000000,0.428571,0.428571,0.000000,0.000000,449.884259,0.000000,9.204827,0.000000,4.602414,0.000000,10,10,0.428571,1000.000000,0.000000,0.000000,0.184097,0.000000
0,-0.010167,0.633333,0.125000,0.304113,0.245394,351.044259,592.312500,21.949972,39.000199,10.974986,19.500099,20,10,0.633333,1100.000000,0.000000,10.000000,0.439158,0.000000
0,-0.005111,0.755556,0.500000,0.336706,0.585458,336.233980,992.312500,25.018248,76.500199,12.509124,38.250099,20,20,0.755556,1100.000000,0.000000,10.000000,0.500535,1.530199
0,-0.003636,1.000000,0.818182,0.710247,0.293003,590.520000,700.000000,21.422143,33.371181,10.711072,16.685590,20,20,1.000000,1100.000000,0.000000,10.000000,0.428877,0.000000
0,-0.000203,0.135135,0.125000,0.825598,0.245394,757.305000,592.312500,19.439565,39.000199,9.719782,19.500099,20,20,0.135135,1100.000000,0.000000,5.000000,0.389242,0.000000
0,0.000000,0.375000,0.375000,0.000000,0.031253,461.888889,154.880000,22.446751,35.818085,11.223375,17.909043,10,10,0.375000,1000.000000,0.000000,10.000000,0.448935,0.000000
0,0.000481,0.233333,0.285714,0.521486,0.000000,524.779259,0.000000,15.899247,0.000000,7.949623,0.000000,20,10,0.375000,1200.000000,0.000000,5.000000,0.318277,0.000000
0,0.000000,0.153846,0.153846,2.602952,0.000000,2977.777778,0.000000,30.859379,0.000000,15.429689,0.000000,30,10,0.153846,1000.000000,0.000000,15.000000,0.618549,0.000000
0,0.000000,0.500000,0.500000,0.188660,0.143759,495.222222,363.640625,43.708760,32.880381,21.854380,16.440191,40,10,0.500000,1000.000000,0.000000,20.000000,0.874212,0.000000
0,0.000000,0.125000,0.125000,0.188660,0.175012,929.333333,518.520625,34.357847,68.698466,17.178923,34.349233,40,10,0.125000,1000.000000,0.000000,15.000000,0.687194,1.374001
0,0.000000,0.062500,0.062500,1.406327,0.049721,1087.059949,211.750000,62.107586,42.857143,31.053793,21.428571,50,20,0.062500,1000.000000,0.000000,30.000000,1.243062,0.000000
0,0.000000,0.125000,0.125000,2.568415,0.000000,3009.622449,0.000000,57.930950,0.000000,28.965475,0.000000,20,20,0.125000,1000.000000,0.000000,25.000000,1.159723,0.000000
0,0.000000,0.062500,0.062500,0.571137,0.049721,1087.059949,211.750000,62.107586,42.857143,31.053793,21.428571,20,20,0.062500,1000.000000,0.000000,30.000000,1.242326,0.000000
