thread_id,v_rel_smoothed,initial_chi,final_chi,pre_p_mag,post_p_mag,pre_mass,post_mass,pre_s_sum,post_s_sum,pre_s_mean,post_s_mean,pre_age_a,pre_age_b,chi_max,duration,theta,stability_bin,pre_E_total,post_E_total
0,0.000000,0.500000,0.500000,1.446146,17.501446,133.925714,1035.440000,24.940748,18.282418,12.470374,9.141209,310,10,0.500000,11.000000,0.000000,10.000000,0.507780,0.000000
0,0.000000,0.642857,0.642857,1.092073,3.590564,98.285714,330.625000,27.038136,25.058888,13.519068,12.529444,540,10,0.642857,11.000000,0.000000,10.000000,0.548125,0.000000
0,0.000510,0.400000,0.900000,18.620683,0.830621,1135.440000,115.330000,31.741372,54.890871,15.870686,27.445436,420,140,1.000000,23.000000,0.000000,15.000000,0.788999,1.101278
0,-0.000241,0.222222,0.133333,5.640096,0.000000,278.266667,416.000000,39.196348,44.441873,19.598174,22.220936,700,190,0.222222,34.000000,0.000000,15.000000,0.894816,0.888837
0,0.003837,0.250000,0.642857,56.373178,0.000000,1136.000000,1400.000000,29.859879,54.480152,14.929939,27.240076,380,150,0.857143,68.000000,0.000000,10.000000,2.162470,1.089603
0,-0.000610,0.333333,0.285714,1.715333,0.000000,232.360000,480.000000,43.047823,49.429762,21.523912,24.714881,890,110,0.333333,17.000000,0.000000,20.000000,0.867492,0.988595
0,0.006071,0.125000,0.428571,0.675000,0.000000,206.833333,1373.722222,49.090315,48.705343,24.545158,24.352672,720,10,0.428571,11.000000,0.000000,20.000000,0.983681,0.974107
0,-0.000583,0.466667,0.437500,1.964392,0.000000,376.933333,773.722222,48.800125,52.210064,24.400063,26.105032,950,10,0.466667,11.000000,0.000000,20.000000,0.982619,1.044201
0,0.000000,1.000000,1.000000,0.987126,17.493059,101.333333,1810.714286,27.919467,24.112745,13.959734,12.056373,440,10,1.000000,30.000000,0.000000,10.000000,0.588840,0.000000
0,-0.000156,0.076923,0.130435,19.572879,4.406761,2049.857500,155.555556,51.329151,26.756883,25.664576,13.378441,1050,340,0.157895,35.000000,0.000000,25.000000,1.239786,0.000000
0,-0.000415,0.285714,0.571429,7.401938,0.246716,305.694444,44.000000,37.874647,33.246238,18.937324,16.623119,210,50,0.800000,64.000000,0.000000,15.000000,0.858038,0.000000
0,-0.000799,0.571429,0.333333,15.340379,0.551304,1979.048611,80.000000,31.884878,25.655587,15.942439,12.827793,350,10,0.571429,34.000000,0.000000,15.000000,0.697488,0.000000
0,-0.000336,0.181818,0.214286,14.450515,0.106493,1996.977500,22.123457,50.951066,33.603115,25.475533,16.801557,340,10,0.250000,35.000000,0.000000,25.000000,1.072076,0.000000
0,-0.000036,0.250000,0.375000,15.400047,0.180700,1979.937500,30.375000,45.776889,24.235189,22.888445,12.117594,630,350,0.500000,34.000000,0.000000,20.000000,0.975476,0.000000
0,0.000029,0.250000,0.400000,0.497349,0.000000,93.920000,705.975309,50.571466,53.614753,25.285733,26.807377,1060,630,0.400000,58.000000,0.000000,25.000000,1.012747,1.072295
0,0.000000,0.285714,0.285714,3.195054,0.000000,130.900277,107.000000,53.186500,70.989629,26.593250,35.494815,400,390,0.285714,20.000000,0.000000,25.000000,1.135236,1.419793
0,0.000662,0.250000,0.620690,0.800044,0.000000,177.280000,444.975309,29.690497,65.230349,14.845249,32.615174,1350,10,0.642857,29.000000,0.000000,10.000000,0.595940,1.304607
0,-0.000430,0.727273,0.620690,5.122364,0.000000,110.960000,444.975309,55.784969,65.230349,27.892484,32.615174,1050,10,0.809524,59.000000,0.000000,25.000000,1.275847,1.304607
0,-0.000346,0.083333,0.058824,5.468012,0.000000,129.240000,662.086420,52.602328,60.550393,26.301164,30.275196,1050,500,0.285714,59.000000,0.000000,25.000000,1.213457,1.211008
0,0.000000,0.285714,0.285714,5.859705,0.000000,130.900277,107.000000,53.186500,70.989629,26.593250,35.494815,390,100,0.285714,20.000000,0.000000,25.000000,1.344480,1.419793
0,-0.000042,0.250000,0.200000,0.293985,0.000000,44.861111,350.416667,47.117615,31.731589,23.558808,15.865794,630,510,0.375000,73.000000,0.000000,20.000000,0.943336,0.000000
0,-0.000442,0.250000,0.250000,0.334158,0.000000,81.000000,64.000000,24.596328,39.003620,12.298164,19.501810,920,10,0.800000,44.000000,0.000000,10.000000,0.492960,0.000000
0,-0.000460,0.500000,0.250000,0.183564,0.000000,32.166667,64.000000,50.244499,39.003620,25.122250,19.501810,630,20,0.800000,73.000000,0.000000,25.000000,1.005419,0.000000
0,-0.001283,0.500000,0.400000,0.256634,0.000000,71.000000,316.000000,34.210011,63.852440,17.105006,31.926220,800,10,0.562500,54.000000,0.000000,15.000000,0.684949,1.277049
0,-0.001283,0.181818,0.400000,0.345648,0.000000,76.360000,316.000000,52.224242,63.852440,26.112121,31.926220,500,10,0.642857,84.000000,0.000000,25.000000,1.045747,1.277049
0,0.000000,1.000000,1.000000,0.234318,0.000000,43.972222,800.000000,33.225604,57.577091,16.612802,28.788545,510,10,1.000000,83.000000,0.000000,15.000000,0.665347,1.151542
