thread_id,v_rel_smoothed,initial_chi,final_chi,pre_p_mag,post_p_mag,pre_mass,post_mass,pre_s_sum,post_s_sum,pre_s_mean,post_s_mean,pre_age_a,pre_age_b,chi_max,duration,theta,stability_bin,pre_E_total,post_E_total
0,0.000000,0.500000,0.500000,0.000000,0.334499,3287.000000,500.000000,0.000000,31.363516,0.000000,15.681758,10,10,0.500000,1000.000000,0.000000,0.000000,0.000000,0.000000
0,0.000000,0.043478,0.043478,171.048283,0.102575,51143.111111,1826.140625,26.749199,62.692792,13.374600,31.346396,20,20,0.043478,1000.000000,0.000000,10.000000,0.822220,1.253859
0,0.000000,0.115385,0.115385,4.050020,0.391055,23242.305556,400.000000,37.399464,39.141573,18.699732,19.570787,30,30,0.115385,1000.000000,0.000000,15.000000,0.748348,0.000000
0,0.002000,0.700000,0.800000,0.163628,0.004916,512.595556,27.222222,49.186340,22.774260,24.593170,11.387130,30,30,0.800000,1100.000000,0.000000,20.000000,0.983753,0.000000
0,0.000000,0.750000,0.750000,0.153047,0.142093,510.228395,208.333333,50.513660,30.808771,25.256830,15.404386,40,10,0.750000,1000.000000,0.000000,25.000000,1.010303,0.000000
0,0.000000,0.571429,0.571429,0.156396,0.000000,103.271111,0.000000,27.516129,0.000000,13.758065,0.000000,50,10,0.571429,1000.000000,0.000000,10.000000,0.550455,0.000000
0,0.000000,0.052632,0.052632,0.094803,0.242987,403.465278,744.111111,50.772075,77.919615,25.386037,38.959807,40,20,0.052632,1000.000000,0.000000,25.000000,1.015454,1.558433
0,0.000000,0.071429,0.071429,0.234655,0.094045,461.937778,244.111111,44.650094,37.970521,22.325047,18.985260,50,20,0.071429,1000.000000,0.000000,20.000000,0.893143,0.000000
0,0.000000,0.266667,0.266667,0.078259,0.094045,568.465278,244.111111,33.480856,37.970521,16.740428,18.985260,20,10,0.266667,1000.000000,0.000000,15.000000,0.669625,0.000000
0,0.000000,0.200000,0.200000,0.197341,3.881640,263.135000,8748.000000,42.057542,45.833333,21.028771,22.916667,20,20,0.200000,1000.000000,0.000000,20.000000,0.841226,0.000000
0,0.000000,0.125000,0.125000,0.221894,0.706511,465.520000,1300.000000,38.236454,30.483971,19.118227,15.241985,30,20,0.125000,1000.000000,0.000000,15.000000,0.764796,0.000000
