thread_id,v_rel_smoothed,initial_chi,final_chi,pre_p_mag,post_p_mag,pre_mass,post_mass,pre_s_sum,post_s_sum,pre_s_mean,post_s_mean,pre_age_a,pre_age_b,chi_max,duration,theta,stability_bin,pre_E_total,post_E_total
0,0.006183,0.100000,0.500000,0.152238,0.470294,61.027778,160.000000,42.501500,48.178499,21.250750,24.089249,50,10,0.545455,130.000000,0.000000,20.000000,0.850339,0.000000
0,0.000000,0.285714,0.285714,1.266231,0.470294,529.753770,160.000000,51.157525,48.178499,25.578763,24.089249,80,10,0.285714,100.000000,0.000000,25.000000,1.024696,0.000000
0,0.000000,0.285714,0.285714,1.266231,0.470294,529.753770,160.000000,51.157525,48.178499,25.578763,24.089249,40,10,0.285714,100.000000,0.000000,25.000000,1.024696,0.000000
0,0.000000,0.285714,0.285714,1.266231,0.470294,529.753770,160.000000,51.157525,48.178499,25.578763,24.089249,100,10,0.285714,100.000000,0.000000,25.000000,1.024696,0.000000
0,-0.000909,0.545455,0.500000,1.455929,0.470294,747.749327,160.000000,60.217644,48.178499,30.108822,24.089249,70,60,0.545455,110.000000,0.000000,30.000000,1.206046,0.000000
0,0.000000,0.285714,0.285714,1.266231,0.470294,529.753770,160.000000,51.157525,48.178499,25.578763,24.089249,70,10,0.285714,100.000000,0.000000,25.000000,1.024696,0.000000
0,0.000408,0.500000,0.500000,0.340719,0.470294,58.995868,160.000000,38.180550,48.178499,19.090275,24.089249,60,40,0.555556,140.000000,0.000000,15.000000,0.764624,0.000000
0,0.004504,0.100000,0.500000,0.323909,0.470294,53.250000,160.000000,40.571087,48.178499,20.285544,24.089249,40,40,0.555556,140.000000,0.000000,20.000000,0.812419,0.000000
0,0.000000,0.272727,0.272727,4.459795,0.650654,968.000000,270.016529,54.052639,93.984895,27.026319,46.992447,90,10,0.272727,100.000000,0.000000,25.000000,1.094002,1.880483
0,0.000000,0.272727,0.272727,13.893146,0.650654,968.000000,270.016529,54.052639,93.984895,27.026319,46.992447,20,10,0.272727,100.000000,0.000000,25.000000,1.206717,1.880483
0,0.000000,0.235294,0.235294,0.160184,0.000000,96.808081,0.000000,71.348732,0.000000,35.674366,0.000000,90,10,0.235294,100.000000,0.000000,35.000000,1.427220,0.000000
0,0.000000,0.333333,0.333333,0.308287,0.000000,156.944444,0.000000,69.978371,0.000000,34.989185,0.000000,20,10,0.333333,100.000000,0.000000,30.000000,1.399990,0.000000
0,0.000000,0.900000,0.900000,0.181515,0.249867,57.244444,160.000000,65.549963,50.000000,32.774982,25.000000,100,10,0.900000,100.000000,0.000000,30.000000,1.312286,0.000000
0,0.000000,0.058824,0.058824,0.238222,0.000000,121.604938,0.000000,67.539337,0.000000,33.769668,0.000000,90,10,0.058824,100.000000,0.000000,30.000000,1.351154,0.000000
0,0.000000,0.900000,0.900000,0.181515,0.249867,57.244444,160.000000,65.549963,50.000000,32.774982,25.000000,30,10,0.900000,100.000000,0.000000,30.000000,1.312286,0.000000
0,0.000736,0.117647,0.150000,1.496416,0.000000,580.658284,0.000000,71.334937,0.000000,35.667469,0.000000,80,70,0.150000,130.000000,0.000000,35.000000,1.428672,0.000000
0,0.002500,0.500000,0.625000,0.102810,5.821397,62.679012,1694.000000,75.877654,31.100335,37.938827,15.550168,90,10,0.625000,110.000000,0.000000,35.000000,1.517701,0.000000
0,0.002500,0.500000,0.625000,0.102810,5.821397,62.679012,1694.000000,75.877654,31.100335,37.938827,15.550168,60,10,0.625000,110.000000,0.000000,35.000000,1.517701,0.000000
0,0.000736,0.117647,0.150000,1.496416,0.000000,580.658284,0.000000,71.334937,0.000000,35.667469,0.000000,70,40,0.150000,130.000000,0.000000,35.000000,1.428672,0.000000
0,0.002500,0.500000,0.625000,0.102810,5.821397,62.679012,1694.000000,75.877654,31.100335,37.938827,15.550168,100,10,0.625000,110.000000,0.000000,35.000000,1.517701,0.000000
0,0.001092,0.833333,1.000000,0.794619,0.000000,166.887778,0.000000,40.595987,0.000000,20.297993,0.000000,70,10,1.000000,160.000000,0.000000,20.000000,0.814122,0.000000
0,0.002077,0.714286,1.000000,1.412436,0.000000,527.360000,0.000000,41.600913,0.000000,20.800457,0.000000,70,40,1.000000,160.000000,0.000000,20.000000,0.834717,0.000000
0,0.002074,0.333333,0.857143,0.172006,0.000000,36.000000,0.000000,23.298140,0.000000,11.649070,0.000000,40,10,1.000000,190.000000,0.000000,10.000000,0.466702,0.000000
0,0.005448,0.125000,0.857143,0.424415,0.000000,108.444444,0.000000,48.682511,0.000000,24.341256,0.000000,50,50,1.000000,150.000000,0.000000,20.000000,0.974526,0.000000
0,0.000000,1.000000,1.000000,2.089437,0.000000,1040.387543,0.000000,66.774438,0.000000,33.387219,0.000000,60,30,1.000000,140.000000,0.000000,30.000000,1.337720,0.000000
0,0.001092,0.833333,1.000000,0.256329,0.000000,166.887778,0.000000,40.595987,0.000000,20.297993,0.000000,50,10,1.000000,160.000000,0.000000,20.000000,0.812149,0.000000
0,0.001453,0.833333,1.000000,3.521238,0.000000,195.750000,0.000000,33.415441,0.000000,16.707721,0.000000,40,30,1.000000,170.000000,0.000000,15.000000,0.701419,0.000000
0,0.001398,0.555556,0.857143,0.159567,0.000000,31.062500,0.000000,37.086554,0.000000,18.543277,0.000000,40,30,1.000000,170.000000,0.000000,15.000000,0.742141,0.000000
0,0.002500,0.500000,0.625000,0.102810,5.821397,62.679012,1694.000000,75.877654,31.100335,37.938827,15.550168,120,10,0.625000,110.000000,0.000000,35.000000,1.517701,0.000000
0,0.002621,0.500000,1.000000,0.175077,0.000000,37.245868,0.000000,38.350415,0.000000,19.175207,0.000000,60,40,1.000000,170.000000,0.000000,15.000000,0.767421,0.000000
0,0.002500,0.250000,0.375000,0.160184,5.821397,79.363636,1694.000000,58.826404,31.100335,29.413202,15.550168,90,10,0.375000,110.000000,0.000000,25.000000,1.176773,0.000000
0,0.000736,0.117647,0.150000,1.496416,0.000000,580.658284,0.000000,71.334937,0.000000,35.667469,0.000000,70,70,0.150000,130.000000,0.000000,35.000000,1.428672,0.000000
0,0.000736,0.117647,0.150000,1.496416,0.000000,580.658284,0.000000,71.334937,0.000000,35.667469,0.000000,100,70,0.150000,130.000000,0.000000,35.000000,1.428672,0.000000
0,0.004497,0.166667,0.857143,0.104095,0.000000,59.527778,0.000000,35.975375,0.000000,17.987688,0.000000,40,10,1.000000,160.000000,0.000000,15.000000,0.719658,0.000000
0,0.002199,0.111111,0.230769,0.325210,0.122082,52.812500,111.111111,36.916689,50.000000,18.458345,25.000000,40,30,0.230769,180.000000,0.000000,15.000000,0.739344,0.000000
0,0.000615,0.200000,0.230769,14.130156,0.122082,846.222222,111.111111,55.293978,50.000000,27.646989,25.000000,80,20,0.230769,130.000000,0.000000,25.000000,1.231902,0.000000
0,-0.000523,0.133333,0.200000,4.461646,0.201530,845.160494,111.111111,50.622775,50.000000,25.311388,25.000000,90,80,0.461538,140.000000,0.000000,25.000000,1.025405,0.000000
