thread_id,v_rel_smoothed,initial_chi,final_chi,pre_p_mag,post_p_mag,pre_mass,post_mass,pre_s_sum,post_s_sum,pre_s_mean,post_s_mean,pre_age_a,pre_age_b,chi_max,duration,theta,stability_bin,pre_E_total,post_E_total
0,0.002818,0.333333,0.454545,178.136042,12.142711,31612.750000,2458.506944,25.910467,18.371935,12.955233,9.185967,500,210,0.454545,15.000000,0.000000,10.000000,1.509659,0.000000
0,0.002949,0.333333,0.333333,0.000000,0.000000,726.111111,952.444444,25.739130,78.144225,12.869565,39.072113,10,10,0.700000,43.000000,0.000000,10.000000,0.514783,1.562885
0,0.002906,0.700000,0.333333,43.191768,0.000000,825.937500,952.444444,37.078158,78.144225,18.539079,39.072113,110,50,0.700000,33.000000,0.000000,15.000000,1.893504,1.562885
0,0.002949,0.333333,0.333333,8.894026,0.000000,1237.000000,952.444444,30.026895,78.144225,15.013447,39.072113,1150,60,0.700000,38.000000,0.000000,15.000000,0.632517,1.562885
0,0.000000,0.666667,0.666667,0.000000,0.740195,375.666667,152.444444,48.355649,30.827938,24.177824,15.413969,350,10,0.666667,13.000000,0.000000,20.000000,0.967113,0.000000
0,-0.000475,0.500000,0.500000,7.438008,2.686615,70.750000,600.000000,56.067728,43.799384,28.033864,21.899692,140,10,0.666667,35.000000,0.000000,25.000000,2.145872,0.000000
0,-0.000475,0.500000,0.500000,7.438008,2.686615,70.750000,600.000000,56.067728,43.799384,28.033864,21.899692,140,10,0.666667,35.000000,0.000000,25.000000,2.145872,0.000000
0,0.000000,0.700000,0.700000,0.767735,3.710645,180.444444,800.000000,48.709662,29.932012,24.354831,14.966006,430,10,0.700000,17.000000,0.000000,20.000000,0.976126,0.000000
0,-0.000144,0.187500,0.166667,22.727200,1.787487,876.430000,482.812500,72.255078,82.294128,36.127539,41.147064,760,700,0.187500,29.000000,0.000000,35.000000,1.963080,1.649217
0,-0.000198,0.500000,0.384615,21.367773,3.131986,606.791111,755.625000,52.019067,63.539430,26.009533,31.769715,760,760,0.500000,29.000000,0.000000,25.000000,1.554942,1.277401
0,-0.000144,0.187500,0.166667,22.727200,1.787487,876.430000,482.812500,72.255078,82.294128,36.127539,41.147064,760,760,0.187500,29.000000,0.000000,35.000000,1.963080,1.649217
0,-0.001254,0.700000,0.444444,10.340893,12.394756,583.680000,888.000000,57.125388,62.781423,28.562694,31.390711,640,640,0.700000,41.000000,0.000000,25.000000,1.234113,1.367163
0,-0.000040,0.100000,0.076923,1.518948,13.459016,314.631111,1043.625000,56.597854,56.642106,28.298927,28.321053,760,760,0.100000,29.000000,0.000000,25.000000,1.135631,1.247426
0,-0.000144,0.187500,0.166667,22.727200,1.787487,876.430000,482.812500,72.255078,82.294128,36.127539,41.147064,1850,760,0.187500,29.000000,0.000000,35.000000,1.963080,1.649217
0,0.000476,0.833333,0.857143,0.101898,0.116074,57.000000,36.000000,58.119422,44.773526,29.059711,22.386763,210,10,0.857143,13.000000,0.000000,25.000000,1.162551,0.000000
0,0.000476,0.833333,0.857143,0.101898,0.116074,57.000000,36.000000,58.119422,44.773526,29.059711,22.386763,1160,10,0.857143,13.000000,0.000000,25.000000,1.162551,0.000000
0,-0.000952,0.333333,0.285714,1.554847,1.537666,401.320000,393.250000,51.146541,32.360984,25.573270,16.180492,1160,10,0.333333,13.000000,0.000000,25.000000,1.026143,0.000000
